item_id,name,material,product_type,h,w,l,bbox_vol,mass_kg,apparent_density
B07P8ML82R,"22"" Bottom Mount Drawer Slides, White Powder Coat, 10 Pairs",,HARDWARE,0.02286,0.022098,0.5588,0.00028228356446399994,0.6577089365000001,2329.9583089396574
B07H9GMYXS,"AmazonBasics PETG 3D Printer Filament, 1.75mm, 1 kg Spool 1.75mm AMG10528516-10",petg (polyethylene terephtalate glycol-modified),MECHANICAL_COMPONENTS,0.075946,0.211074,0.233934,0.003750014890019736,0.9979032140000001,266.1064671118541
B0896LJNLH,AmazonBasics Serene 16-Piece Old Fashioned and Coolers Glass Drinkware Set,,DRINKING_CUP,0.078994,0.078994,0.15697199999999997,0.0009795134481949918,0.317514659,324.15548718101144
B07J4HXTQH,AmazonBasics Türhebel Dezember Eingang poliertes Messing,,HARDWARE_HANDLE,0.06985,0.06477,0.10286999999999999,0.0004654028595149999,0.7620351816000001,1637.3667802430848
B07KZ6PC16,AmazonBasics – hoogwaardig microvezel-laken,,FLAT_SHEET,0.024891999999999997,0.24002999999999997,0.290068,0.0017331060486196796,0.5851341573000001,337.6216693525628
B07S74D9T7,"AmazonBasics Adjustable Speaker Stand - 3.8 to 6-Foot, Steel",,SOUND_AND_RECORDING_EQUIPMENT,0.9639300000000001,0.115062,0.115062,0.012761723597146921,2.8984552443,227.1209858320387
B01N27SMXC,"Amazon Brand - The Fix Women's Foley Tassel Slide Sandal, Taupe, 6.5 B US",suede,SHOES,0.104902,0.139954,0.294894,0.004329472845682151,0.15592237718750002,36.01417141188534
B0896KVCJY,"AmazonBasics Eastlake Coolers Glass Drinkware Set, 15-Ounce, Set of 6",,DRINKING_CUP,0.08128,0.08128,0.14478,0.0009564801515520001,0.36287389600000003,379.38465885695064
B07TVRZZWB,Amazonbasics On-Ear Wireless Bluetooth Headphones with Microphone - Champagne,,HEADPHONES,0.065786,0.15494,0.195072,0.0019883460413644798,0.16782917690000002,84.40642293070333
B075NFPCRQ,Amazon Brand - Solimo Wax Tealight Unscented Candle (Set of 50),,CANDLE,0.191999616,0.026999946,0.191999616,0.0009953220280439442,0.4999999995807047,502.3499786931565
B07Z42HLWV,Nia & Nicole Women's Clutch (Navy Blue:: Mustard),other,WALLET,0.10999978,0.02999994,0.21499956999999997,0.000709495743008514,0.1999999998322819,281.8903450839759
B07765Z6S4,AmazonBasics Modern Euro Toilet Paper Holder - Satin Nickel,,TOILET_PAPER_HOLDER,0.05841999999999999,0.12954,0.16763999999999998,0.0012686537207519995,0.2313321087,182.34456330832103
B08DB9X1D9,Bourge Men's D.Grey and Sea Green Running Shoes-6 UK (40 EU) (7 US) (Reef-65),mesh,SHOES,0.112999774,0.21299957399999997,0.34299931399999994,0.008255617466097065,0.27199999977190337,32.94726298655579
B07TPYLKQ6,AmazonBasics Casual Sports Backpack,,BACKPACK,0.5199379999999999,0.145034,0.32004,0.024133796472955677,0.3900894382,16.163616803395772
B07Y39SG9K,"AmazonBasics Satin Padded Blouse Hangers, Ivory, 30-Pack",,CLOTHES_HANGER,0.1397,0.034544,0.381,0.0018386285807999998,0.0498951607,27.1371614805913
B081QP9GW3,"AmazonBasics Divider Strips - Recycled Manilla, Full Colour, Punched, 10.5 x 24 cm, 160 GSM, Pack of 100, Orange",,OFFICE_PRODUCTS,0.0249999999745,0.24199999975316,0.10499999989289999,0.000635249998056135,0.3899999996729497,613.9315243862254
B07HJ9WBTY,"AmazonBasics Cat Condo Ottoman, Grey",,PET_SUPPLIES,0.379984,0.45008799999999993,0.379984,0.06498723424514252,4.186657575100001,64.4227689288521
B07H132Y5R,AmazonBasics Digital Soldering Station,,TOOLS,0.150114,0.08509,0.235204,0.00300430779395304,0.6486370891,215.90234209875325
B071GQXN34,AmazonBasics Straight Cable Lightning Car Charger - 5V 12W - 3 Foot - Black/Red,,CHARGING_ADAPTER,0.026924,0.026924,0.056896,4.1244011447296e-05,0.045359237000000004,1099.7775291077755
B072ZLCB3M,"Amazon Brand – Rivet Bristol Natural Edge Black Metal Side Table, Walnut",metal,TABLE,0.48005999999999993,0.46227999999999997,0.48005999999999993,0.10653594099220796,6.685951533800001,62.75770853977824
B078VTMYYF,"Amazon Brand - Wag Dry Dog Food for Puppies, Chicken and Lentil Recipe (5 lb. Bag) Trial",,PET_SUPPLIES,0.1397,0.1905,0.3302,0.008787563069999999,2.2679618500000003,258.08768960562355
B07TMH6289,"AmazonBasics LeatherSoft Kids/Youth Recliner with Armrest Storage, 5+ Age Group, Light Blue",leather,CHAIR,0.70104,0.70104,0.68072,0.334544664586752,13.199537967000001,39.45523382746156
B087QFZJD6,"AmazonCommercial Stainless Steel Heav-Duty Cheese Grater, 6-Sided Box Grater with Non-Slip Base, 9 Inch",,FOOD_SERVICE_SUPPLY,0.1016,0.127,0.23495,0.0030316068399999997,0.28122726940000004,92.76508605581589
B07WX4VV1M,"AmazonBasics Four Socket Extension Lead, 2 Metre, White",silver,BISS,0.040385999958806276,0.0482599999507748,0.23291799976242364,0.00045396378616535075,0.2857049997604105,629.356368211155
