idx,file,seconds,kind,medium,object,gripper,outcome
0,IMG_1747.MOV,17.2,other,,,,
1,IMG_1748.MOV,14.2,other,,,,
2,IMG_1750.MOV,5.7,other,,,,
3,IMG_1763.MOV,9.8,other,,,,
4,IMG_1771.MOV,8.1,other,,,,
5,IMG_1774.MOV,6.5,other,,,,
6,IMG_1777.MOV,22.2,other,,,,
7,IMG_1778.MOV,54.4,other,,,,
8,IMG_1780.MOV,28.5,grasp,underwater,,,
9,IMG_1791.MOV,15.7,grasp,air,,,
10,IMG_1801.MOV,24.7,grasp,air,,,
11,IMG_1809.MOV,10.4,other,,,,
12,IMG_1812.MOV,4.9,other,,,,
13,IMG_1829.MOV,22.4,other,,,,
14,IMG_1830.MOV,21.0,grasp,air,,,
15,IMG_1832.MOV,9.2,grasp,air,,,
16,IMG_1838.MOV,39.9,grasp,air,,,
17,IMG_1843.MOV,13.4,grasp,air,,,
18,IMG_1853.MOV,12.5,other,,,,
19,IMG_1854.MOV,24.2,other,,,,
20,IMG_1856.MOV,57.9,other,,,,
21,IMG_1857.MOV,67.1,other,,,,
22,IMG_1858.MOV,8.8,other,,,,
23,IMG_1859.MOV,7.8,grasp,underwater,,,
24,IMG_1860.mov,308.1,grasp,underwater,,,
25,IMG_1861.MOV,16.4,grasp,underwater,,,
26,IMG_1862.MOV,7.8,grasp,underwater,,,
27,IMG_1863.MOV,53.3,grasp,underwater,,,
28,IMG_1864.MOV,17.9,grasp,underwater,,,
29,IMG_1865.MOV,35.7,grasp,air,,,
30,IMG_1869.MOV,29.1,grasp,air,,,
31,IMG_1870.MOV,26.9,grasp,air,,,
32,IMG_1871.MOV,16.9,grasp,air,,,
33,IMG_1872.MOV,11.5,grasp,air,,,
34,IMG_1873.MOV,18.4,grasp,air,,,
35,IMG_1874.MOV,14.3,grasp,air,,,
36,IMG_1875.MOV,19.4,grasp,air,,,
37,IMG_1878.MOV,24.4,grasp,air,,,
38,IMG_1879.MOV,20.3,other,,,,
39,IMG_1881.MOV,32.8,grasp,underwater,,,
